store_name,region,store_type,category,month_name,month,revenue,cost,units,transactions
RetailPulse Central #026,Central,Metro,Apparel,October,10,783804.34,524230.71,531,48
RetailPulse Central #026,Central,Metro,Beverages,October,10,56142.17,48916.590000000004,344,59
RetailPulse Central #026,Central,Metro,Electronics,October,10,9648816.88,8307297.51,719,55
RetailPulse Central #026,Central,Metro,Grocery,October,10,50382.31,43883.01,200,35
RetailPulse Central #026,Central,Metro,Home & Kitchen,October,10,762193.37,591122.14,311,54
RetailPulse Central #026,Central,Metro,Personal Care,October,10,112293.59,82226.8,270,43
RetailPulse Central #026,Central,Metro,Stationery,October,10,71373.34,56343.62,272,50
RetailPulse Central #026,Central,Metro,Apparel,November,11,537673.0,356595.1,372,39
RetailPulse Central #026,Central,Metro,Beverages,November,11,41242.18,35788.22,304,53
RetailPulse Central #026,Central,Metro,Electronics,November,11,8930547.85,7903822.27,739,49
RetailPulse Central #026,Central,Metro,Grocery,November,11,65859.53,59228.03,294,54
RetailPulse Central #026,Central,Metro,Home & Kitchen,November,11,652010.22,509389.38,239,48
RetailPulse Central #026,Central,Metro,Personal Care,November,11,100521.47,71662.34,261,44
RetailPulse Central #026,Central,Metro,Stationery,November,11,67014.21,54852.89,267,40
RetailPulse Central #026,Central,Metro,Apparel,December,12,481648.02999999997,319664.0,321,55
RetailPulse Central #026,Central,Metro,Beverages,December,12,36395.1,30648.59,219,42
RetailPulse Central #026,Central,Metro,Electronics,December,12,4094750.98,3566519.08,331,55
RetailPulse Central #026,Central,Metro,Grocery,December,12,87722.62,79005.69,375,64
RetailPulse Central #026,Central,Metro,Home & Kitchen,December,12,613761.7,473874.25,261,42
RetailPulse Central #026,Central,Metro,Personal Care,December,12,103341.18,78409.5,263,43
RetailPulse Central #026,Central,Metro,Stationery,December,12,66777.67,55041.55,268,49
RetailPulse Central #033,Central,Suburban,Apparel,October,10,650318.51,430875.72000000003,450,59
RetailPulse Central #033,Central,Suburban,Beverages,October,10,28729.21,25054.02,180,42
RetailPulse Central #033,Central,Suburban,Electronics,October,10,6414156.21,5481373.63,502,56
RetailPulse Central #033,Central,Suburban,Grocery,October,10,44324.4,40272.52,180,48
RetailPulse Central #033,Central,Suburban,Home & Kitchen,October,10,329526.43,261436.74,177,49
RetailPulse Central #033,Central,Suburban,Personal Care,October,10,83619.07,62557.71,218,55
RetailPulse Central #033,Central,Suburban,Stationery,October,10,47910.090000000004,38474.69,186,48
RetailPulse Central #033,Central,Suburban,Apparel,November,11,564702.26,372411.92,317,42
RetailPulse Central #033,Central,Suburban,Beverages,November,11,30444.0,26448.63,211,50
RetailPulse Central #033,Central,Suburban,Electronics,November,11,5349939.55,4541134.65,416,50
RetailPulse Central #033,Central,Suburban,Grocery,November,11,46757.770000000004,41979.24,185,49
