store_id,store_name,region,store_type,total_revenue,total_profit,total_units
1,RetailPulse South #001,South,Rural,60575083.88,10595803.660000004,21533
2,RetailPulse North #002,North,Rural,85516922.28,15337751.11,32717
3,RetailPulse West #003,West,Metro,181590467.38,31802746.909999996,65062
4,RetailPulse South #004,South,Urban,133478095.4,23451988.86,48982
5,RetailPulse East #005,East,Suburban,113612539.34,19728606.39,42027
6,RetailPulse East #006,East,Metro,168009778.56,29503229.870000005,61190
7,RetailPulse South #007,South,Metro,203078951.9,34361789.34,74811
8,RetailPulse North #008,North,Rural,72554289.74,12615991.929999992,26426
9,RetailPulse East #009,East,Metro,215324974.07,37494583.870000005,79332
10,RetailPulse East #010,East,Rural,67147260.77,11771706.139999993,24195
11,RetailPulse South #011,South,Urban,142049406.49,25438122.090000004,52357
12,RetailPulse North #012,North,Suburban,118668209.7,21022275.180000007,44048
13,RetailPulse North #013,North,Suburban,115256042.97,20511454.959999993,43908
14,RetailPulse South #014,South,Metro,203460579.32,35985730.620000005,76797
15,RetailPulse South #015,South,Urban,148949085.37,26414162.13000001,55105
16,RetailPulse North #016,North,Suburban,117182702.97,20604067.439999998,44072
17,RetailPulse East #017,East,Urban,133416272.71,23146717.059999987,49453
18,RetailPulse South #018,South,Urban,138347109.89,24415999.549999982,50930
19,RetailPulse South #019,South,Metro,177770288.36,31358314.800000012,66225
20,RetailPulse East #020,East,Rural,71739428.68,12732600.20000001,26789
21,RetailPulse West #021,West,Rural,70063198.84,12332783.21,25172
22,RetailPulse West #022,West,Rural,59763909.74,10629725.080000006,22532
23,RetailPulse North #023,North,Urban,139301973.24,24535210.200000003,51359
24,RetailPulse South #024,South,Rural,63870013.75,11148072.32,23493
25,RetailPulse South #025,South,Metro,195618122.8,33741009.100000024,72672
26,RetailPulse Central #026,Central,Metro,166688785.74,28766954.22,63357
27,RetailPulse West #027,West,Suburban,100276514.17,17566589.489999995,38083
28,RetailPulse East #028,East,Urban,154701749.43,26632517.570000008,58591
29,RetailPulse North #029,North,Urban,129115753.33,22262961.409999996,46962
30,RetailPulse West #030,West,Metro,199072330.29,34411686.56,75213
31,RetailPulse South #031,South,Metro,222290142.35,39709563.81999999,79052
32,RetailPulse West #032,West,Urban,134318322.54,23190377.08,49971
33,RetailPulse Central #033,Central,Suburban,118134011.12,20626353.61,43393
34,RetailPulse Central #034,Central,Suburban,94488747.55,16249649.769999996,34782
35,RetailPulse East #035,East,Metro,164510181.36,28606250.390000015,62251
36,RetailPulse East #036,East,Suburban,115125359.06,20319410.510000005,42921
37,RetailPulse South #037,South,Suburban,113505093.18,19788976.77000001,42422
38,RetailPulse North #038,North,Urban,134603137.71,23619751.870000005,51422
39,RetailPulse Central #039,Central,Suburban,110945551.11,19556553.679999992,41764
40,RetailPulse North #040,North,Suburban,114871743.61,20387116.53,42653
41,RetailPulse Central #041,Central,Rural,85235220.55,14663230.829999998,31699
42,RetailPulse South #042,South,Rural,64819608.61,11584648.54,24763
43,RetailPulse Central #043,Central,Urban,142866992.15,25354107.810000002,55234
44,RetailPulse East #044,East,Metro,197020784.38,34569505.849999994,72179
45,RetailPulse Central #045,Central,Suburban,105506193.23,18535658.17,38398
46,RetailPulse West #046,West,Suburban,110520343.94,19648932.75999999,40894
47,RetailPulse West #047,West,Suburban,119500747.34,20954136.49000001,44856
48,RetailPulse South #048,South,Metro,204741983.58,35840123.03,72774
49,RetailPulse South #049,South,Urban,128366962.96,22542635.39,47303
50,RetailPulse North #050,North,Urban,132609547.19,23583289.349999994,50510
51,RetailPulse North #051,North,Urban,150079714.03,26097508.840000004,55544
52,RetailPulse East #052,East,Urban,139077408.95,24320993.429999992,51200
53,RetailPulse North #053,North,Rural,58242206.4,10212042.219999999,22090
54,RetailPulse North #054,North,Urban,151679129.66,26384976.269999996,56163
55,RetailPulse Central #055,Central,Suburban,107412140.3,19074047.269999996,38803
