product_id,product_name,category,unit_price,unit_cost,margin_pct,seasonality_type,supplier_id
1,GROC-Themselves-1,Grocery,91.36,79.57,0.129,low,13
2,GROC-Factor-2,Grocery,377.83,346.47,0.083,low,25
3,GROC-Another-3,Grocery,331.22,298.1,0.1,low,10
4,GROC-About-4,Grocery,198.21,174.42,0.12,low,3
5,GROC-Goal-5,Grocery,396.68,353.44,0.109,low,18
6,GROC-Spend-6,Grocery,137.51,120.87,0.121,low,23
7,GROC-Case-7,Grocery,375.77,323.16,0.14,low,17
8,GROC-Public-8,Grocery,287.95,249.94,0.132,low,3
9,GROC-Everybody-9,Grocery,86.09,73.78,0.143,low,20
10,GROC-Color-10,Grocery,339.26,304.66,0.102,low,19
11,GROC-Site-11,Grocery,186.22,171.14,0.081,low,9
12,GROC-Letter-12,Grocery,346.5,310.12,0.105,low,14
13,GROC-Ok-13,Grocery,286.87,254.17,0.114,low,15
14,GROC-Season-14,Grocery,79.15,72.34,0.086,low,12
15,GROC-Late-15,Grocery,165.03,144.07,0.127,low,4
16,GROC-Option-16,Grocery,381.17,329.71,0.135,low,7
17,GROC-Act-17,Grocery,81.92,72.5,0.115,low,7
18,GROC-Brother-18,Grocery,398.58,365.1,0.084,low,3
19,GROC-Bag-19,Grocery,360.7,322.83,0.105,low,18
20,GROC-You-20,Grocery,389.03,339.23,0.128,low,12
21,GROC-Use-21,Grocery,353.4,304.28,0.139,low,14
22,GROC-Rock-22,Grocery,295.34,270.24,0.085,low,18
23,GROC-Well-23,Grocery,362.16,329.57,0.09,low,5
24,GROC-Church-24,Grocery,131.63,115.7,0.121,low,13
25,GROC-Offer-25,Grocery,179.72,155.1,0.137,low,7
26,GROC-Also-26,Grocery,395.1,342.55,0.133,low,6
27,GROC-They-27,Grocery,297.86,263.9,0.114,low,12
28,GROC-Hope-28,Grocery,245.44,218.44,0.11,low,19
29,GROC-Pass-29,Grocery,88.92,78.78,0.114,low,13
30,GROC-Old-30,Grocery,191.82,168.8,0.12,low,20
31,GROC-Choose-31,Grocery,91.59,83.53,0.088,low,9
32,GROC-Law-32,Grocery,310.47,270.73,0.128,low,25
33,GROC-Care-33,Grocery,181.2,163.08,0.1,low,24
34,GROC-Analysis-34,Grocery,234.93,208.85,0.111,low,12
35,GROC-Foot-35,Grocery,392.27,345.59,0.119,low,15
36,GROC-His-36,Grocery,361.9,319.56,0.117,low,11
37,GROC-Way-37,Grocery,371.69,335.26,0.098,low,19
38,GROC-Worker-38,Grocery,389.26,343.72,0.117,low,9
39,GROC-Style-39,Grocery,125.88,113.17,0.101,low,1
40,GROC-Traditional-40,Grocery,269.65,237.02,0.121,low,16
41,GROC-Among-41,Grocery,307.99,263.64,0.144,low,10
42,GROC-Way-42,Grocery,382.64,328.31,0.142,low,12
43,GROC-Help-43,Grocery,87.36,78.36,0.103,low,4
44,GROC-Develop-44,Grocery,212.29,190.0,0.105,low,18
45,GROC-Rest-45,Grocery,143.08,128.06,0.105,low,4
46,GROC-Enjoy-46,Grocery,395.17,344.19,0.129,low,17
47,GROC-Reflect-47,Grocery,147.92,131.8,0.109,low,13
48,GROC-Board-48,Grocery,289.66,263.3,0.091,low,14
49,GROC-Health-49,Grocery,76.67,65.48,0.146,low,19
50,GROC-State-50,Grocery,304.0,266.61,0.123,low,2
51,GROC-Opportunity-51,Grocery,78.96,67.83,0.141,low,13
52,GROC-Usually-52,Grocery,107.69,95.95,0.109,low,22
53,GROC-Two-53,Grocery,333.69,283.97,0.149,low,17
54,GROC-Investment-54,Grocery,181.86,157.85,0.132,low,25
55,GROC-Pressure-55,Grocery,389.47,335.33,0.139,low,13
56,GROC-So-56,Grocery,72.23,66.23,0.083,low,1
57,GROC-Clear-57,Grocery,54.79,50.13,0.085,low,17
58,GROC-Wish-58,Grocery,237.02,205.73,0.132,low,3
59,GROC-Wonder-59,Grocery,244.4,211.65,0.134,low,5
60,GROC-Economic-60,Grocery,314.98,281.59,0.106,low,21
61,GROC-Treatment-61,Grocery,207.69,189.21,0.089,low,19
62,GROC-Commercial-62,Grocery,146.16,132.27,0.095,low,1
63,GROC-Such-63,Grocery,285.1,250.03,0.123,low,8
64,GROC-Talk-64,Grocery,57.76,51.12,0.115,low,22
65,GROC-Cost-65,Grocery,320.31,283.15,0.116,low,12
66,GROC-Upon-66,Grocery,335.74,286.05,0.148,low,25
67,GROC-Itself-67,Grocery,256.48,227.24,0.114,low,23
68,GROC-Ago-68,Grocery,314.3,275.64,0.123,low,2
69,GROC-Country-69,Grocery,331.77,284.33,0.143,low,2
70,GROC-Since-70,Grocery,172.71,151.81,0.121,low,15
71,GROC-Window-71,Grocery,203.12,174.07,0.143,low,20
72,GROC-Go-72,Grocery,241.61,214.55,0.112,low,15
73,GROC-Stay-73,Grocery,188.79,165.38,0.124,low,19
74,GROC-Word-74,Grocery,294.17,254.16,0.136,low,10
75,GROC-Its-75,Grocery,374.31,331.64,0.114,low,20
76,GROC-Suffer-76,Grocery,210.7,179.31,0.149,low,21
77,GROC-Relationship-77,Grocery,171.59,155.29,0.095,low,11
78,GROC-Treat-78,Grocery,134.05,122.66,0.085,low,25
79,GROC-Simple-79,Grocery,211.04,185.5,0.121,low,11
80,GROC-Talk-80,Grocery,98.59,86.27,0.125,low,8
81,GROC-Energy-81,Grocery,293.78,261.76,0.109,low,3
82,GROC-Example-82,Grocery,230.33,196.24,0.148,low,19
