supplier_id,supplier_name,lead_time_days,reliability_score
1,Moore-Phillips,5,0.94
2,Riley PLC,3,0.82
3,Adkins Inc,3,0.81
4,Silva PLC,14,0.93
5,"Moore, Yu and Miller",7,0.82
6,Jones Inc,7,0.89
7,"Hensley, Powell and David",5,0.88
8,"Sanchez, Wheeler and Harvey",5,0.92
9,Sandoval-Cunningham,7,0.81
10,Donovan-Harris,5,0.92
11,"Edwards, Baker and Anderson",7,0.96
12,"Evans, Stewart and Walton",10,0.83
13,Smith PLC,3,0.92
14,"Ferrell, Jones and Lewis",3,0.91
15,Anderson-Bailey,21,0.91
16,Suarez LLC,5,0.92
17,Moore-Bass,7,0.9
18,"Turner, Riggs and Roman",21,0.87
19,"Smith, Montoya and Evans",21,0.97
20,"Garcia, Humphrey and Baker",5,0.81
21,Newton and Sons,3,0.8
22,Campbell-Clark,3,0.93
23,Harris-Walters,3,0.86
24,Wagner-King,14,0.8
25,Davis Group,14,0.85
